query_id,pq,batch_index,approx_h2d_ms,approx_memset_ms,approx_kernel_ms,approx_d2h_ms,approx_total_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
126,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,1260,60,1888,1256,1260,451,313,50,50,10,1
127,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,861,53,1664,857,861,317,188,50,50,10,1
128,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,972,55,1728,968,972,347,214,50,50,10,1
129,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,862,60,1888,858,862,439,311,50,50,10,1
130,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1358,74,2336,1354,1358,457,293,50,50,10,1
131,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,850,58,1824,846,850,398,266,50,50,10,1
132,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,1099,58,1824,1095,1099,363,229,50,50,10,1
133,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1302,76,2400,1298,1302,500,289,50,50,10,1
134,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,820,60,1888,816,820,459,340,50,50,10,1
135,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,1288,68,2144,1284,1288,486,312,50,50,10,1
136,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1089,63,1984,1085,1089,427,263,50,50,10,1
137,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,932,58,1824,928,932,412,264,50,50,10,1
138,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,982,60,1888,978,982,449,318,50,50,10,1
139,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,896,54,1696,892,896,344,224,50,50,10,1
140,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,1282,67,2112,1278,1282,472,312,50,50,10,1
141,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,626,58,1824,622,626,339,209,50,50,10,1
142,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,944,56,1760,940,944,398,251,50,50,10,1
143,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,875,59,1856,871,875,439,307,50,50,10,1
144,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,851,56,1760,847,851,340,195,50,50,10,1
145,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,919,58,1824,915,919,406,276,50,50,10,1
146,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,1053,62,1952,1049,1053,444,313,50,50,10,1
147,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,863,56,1760,859,863,357,216,50,50,10,1
148,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,890,58,1824,886,890,392,265,50,50,10,1
149,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,990,62,1952,986,990,433,316,50,50,10,1
